activity_id,name,description,type,course_id,laps,sport,sub_sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,moving_time,distance,cycles,avg_hr,max_hr,avg_rr,max_rr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,max_temperature,min_temperature,avg_temperature,start_lat,start_long,stop_lat,stop_long,hr_zones_method,hrz_1_hr,hrz_2_hr,hrz_3_hr,hrz_4_hr,hrz_5_hr,hrz_1_time,hrz_2_time,hrz_3_time,hrz_4_time,hrz_5_time
9546597493,Chicago - Chicago Prep Week 8,,uncategorized,,17,running,generic,3.7,0.2,2022-09-05 08:06:43.000000,2022-09-05 09:06:33.000000,00:59:40.899000,00:59:02.694000,5.025706189008,4118.0,142,161.0,,,1030,73.0,88.0,5.106924870933533,7.263331145067215,9.8425197,13.1233596,260.6,,260.6,41.923627546057105,-87.6469655893743,41.925520934164524,-87.64467389322817,max_heart_rate,97.0,116.0,135.0,154.0,174.0,00:00:31.000000,00:13:57.521000,00:36:21.828000,00:07:47.977000,00:00:00.000000
9678719760,Chicago - taper september 26,,uncategorized,,13,running,generic,3.8,0.0,2022-09-26 05:58:34.000000,2022-09-26 07:09:11.000000,01:10:25.905000,01:10:01.303000,6.188844724576,5224.0,144,162.0,,,1256,78.0,88.0,5.303775371198654,6.824892000530244,55.774278300000006,72.1784778,260.6,,260.6,41.923775654286146,-87.64693750999868,41.93134811706841,-87.63968230225146,max_heart_rate,96.0,115.0,134.0,154.0,173.0,00:00:17.000000,00:06:21.969000,00:58:31.144000,00:04:35.672000,00:00:00.000000
9487581647,Chicago Running,,uncategorized,,13,running,generic,4.3,0.0,2022-08-27 05:33:44.000000,2022-08-27 08:21:34.000000,02:47:45.309000,02:13:59.581000,12.007308717968,10050.0,155,169.0,,,2206,74.0,81.0,5.377594242132187,6.534090064533233,95.14435710000001,88.5826773,89.6,75.2,80.6,41.9236692879349,-87.64690423384309,41.92391018383205,-87.64636318199337,max_heart_rate,97.0,116.0,135.0,154.0,174.0,00:00:48.452000,00:03:26.497000,00:43:11.474000,01:26:19.478000,00:00:00.000000
9939664336,Indoor Cycling,,uncategorized,,1,cycling,indoor_cycling,3.1,1.4,2022-11-08 06:31:45.000000,2022-11-08 07:17:33.000000,00:44:59.172000,00:44:59.172000,0.0,,140,172.0,,,714,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:02:46.999000,00:07:08.999000,00:23:42.003000,00:09:58.308000,00:00:19.998000
9812610543,Chicago Running,,uncategorized,,6,running,generic,2.7,0.0,2022-10-18 06:01:57.000000,2022-10-18 07:04:01.000000,01:01:57.326000,01:01:06.503000,5.006306980144,4404.0,142,160.0,,,924,72.0,107.0,4.914548451732635,8.285610935466767,164.04199500000001,177.1653546,260.6,,260.6,41.92363022826612,-87.64704437926412,41.929096234962344,-87.64547914266586,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:17.927000,00:09:33.315000,00:46:22.128000,00:04:46.985000,00:00:00.000000
10490103243,Chicago Running,,uncategorized,,21,running,generic,5.0,0.0,2023-02-11 06:31:13.000000,2023-02-11 10:10:59.000000,03:39:42.843000,03:29:54.470000,20.004933937184,16169.0,148,170.0,,,3305,77.0,80.0,5.71760840320015,8.245346339197159,236.2204728,262.467192,260.6,,260.6,41.92368202842772,-87.64698578976095,41.923764338716865,-87.647754997015,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:00.000000,00:04:37.499000,02:31:23.408000,00:53:51.389000,00:00:00.000000
9500100448,Chicago - Week 3 Buildup Circuits,,uncategorized,,18,running,generic,3.1,0.1,2022-08-29 06:03:48.000000,2022-08-29 06:56:36.000000,00:52:40.507000,00:52:11.873000,4.309650445552,3565.0,145,162.0,,,783,67.0,78.0,4.954813048002243,6.471455596269608,13.1233596,19.6850394,87.80000000000001,82.4,86.0,41.92370289936662,-87.64700699597597,41.9235899951309,-87.6483678817749,max_heart_rate,97.0,116.0,135.0,154.0,174.0,00:00:18.000000,00:12:25.555000,00:20:57.913000,00:18:15.757000,00:00:00.000000
10188960118,Running,,uncategorized,,11,running,generic,4.2,0.0,2022-12-26 07:20:23.000000,2022-12-26 09:21:02.000000,02:00:34.712000,01:48:37.116000,10.004231662799999,8209.0,160,172.0,,,1841,75.0,80.0,5.5252319839992525,6.386452322666169,134.5144359,127.9527561,260.6,,260.6,12.584594618529081,-70.03169618546963,12.58426814340055,-70.03209390677512,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:16.109000,00:00:49.109000,00:09:40.025000,01:37:34.004000,00:00:16.940000
10300194649,Chicago Running,,uncategorized,,6,running,generic,3.2,0.0,2023-01-13 05:53:38.000000,2023-01-13 06:48:51.000000,00:55:09.352000,00:54:23.026000,5.00582852432,4125.0,147,169.0,,,874,76.0,83.0,5.522995210130691,7.032926903465272,131.233596,141.0761157,260.6,,260.6,41.92372351884842,-87.6469967700541,41.92377783358097,-87.64462385326624,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:13.001000,00:01:57.438000,00:33:54.610000,00:18:03.114000,00:00:00.000000
10475601719,Stair Stepper,,uncategorized,,1,fitness_equipment,stair_climbing,3.2,0.0,2023-02-09 05:48:32.000000,2023-02-09 06:29:39.000000,00:40:37.584000,00:40:37.584000,0.0,1044.0,146,167.0,,,660,6.0,79.0,0.0,,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:31.810000,00:01:34.099000,00:24:23.900000,00:13:42.774000,00:00:00.000000
